Title,Abstract,Journal,Language,Year,Month
"Bladder agenesis, ectopic ureters and a multicystic dysplastic horseshoe kidney in one twin newborn with normal amniotic fluid index in utero.","A monochorionic-diamniotic twin baby presented with intrauterine growth restriction and anuria. The baby was found to have bladder agenesis, a pelvic dysplastic horseshoe kidney, vertebral anomalies, a ventricular septal defect and facial dysmorphisms. It was surprising to find no abnormalities in amniotic fluid indices prenatally, suggesting the possibility of urine output that declined as the pregnancy proceeded. Some degree of twin-to-twin transfusion of amniotic fluid was also possible, which could have rescued the oligohydramnios known to be associated with kidney and urinary tract abnormalities. It was also notable that there was no abnormality in respiratory function, especially since further investigations revealed close to no kidney function. The intrauterine growth restriction (IUGR) along with the multiple anomalies found made the baby unsuitable for dialysis and transplant, and the decision of transition to palliative care was made.",BMJ case reports,eng,2016,12.0
Double trouble: pelvi-ureteric junction obstruction and renal cell carcinoma in right to left crossed fused ectopia.,"Crossed renal ectopia is a rare occurrence. The majority of the crossed units are fused to their ipsilateral mate. Pelvi-ureteric junction obstruction (PUJO) in crossed fused moieties has been reported very rarely. Similarly, malignancy arising in the crossed over moieties is a rare occurrence too. Only a few cases have been reported earlier. We are here reporting an unusual case with coexistent PUJO and renal cell carcinoma in the crossed over moiety of right to left crossed fused ectopia. To the best of our knowledge, this is the first reported case with both these pathologies, coexisting, in the crossed over moiety. The patient underwent open radical nephrectomy of the right moiety via a lower midline incision. Surgery in this scenario is very challenging due to complex anatomy with aberrant vasculature, which needs for dissection within the renal parenchyma, similar to nephron-sparing surgery to separate from the normal moiety.",BMJ case reports,eng,2016,12.0
Evaluation of a crossed fused renal ectopia in a paediatric patient using <sup>99m</sup>Tc-DMSA SPECT/CT.,No Abstract,Revista espanola de medicina nuclear e imagen molecular,eng,2016,
Cross-fused renal ectopia associated with vesicoureteral reflux; a case report.,"Crossed renal ectopia is a rare urinary system anomaly which mostly is asymptomatic and is diagnosed incidentally. Urinary obstruction, infection, and neoplasia of the urinary system and nephrolithiasis are main complications of this anomaly. A 6-year-old boy admitted to the hospital with colicky abdominal pain and nausea. Abdominal examination revealed tenderness in right lower quadrant. Urine analysis and culture were normal. Kidney ultrasonography showed right kidney in pelvis cavity with no kidney tissue in left side. TC 99-DMSA scan demonstrated no radiotracer accumulation in the normal renal area. Radiotracer accumulation was seen in the pelvis area with a deviation to the left. Voiding cystoureterogram revealed right sided grade II vesicoureteral reflux. Severe urological anomalies in children may be asymptomatic or have nonspecific symptoms such as abdominal pain.",Journal of renal injury prevention,eng,2016,
SUCCESSFUL REPAIR OF IATROGENIC URETERAL INJURY IN A PATIENT WITH ECTOPIC CROSSED AND FUSED RIGHT KIDNEY BY URETEROURETEROSTOMY.,"Congenital renal malformations are the most common congenital malformations in humans, the most common being horseshoe kidney with joined lower poles present in up to 0.25% of general population. To the contrary renal fusions with ectopia are amongst the rare malformations affecting 1 in 2000 examined cadavers. Males are affected slightly more often then females (3:2), left to right crosses being more frequent. The value of early diagnosis of asymptomatic renal malformation is uncertain, except when other abnormalities might point to them and they can affect the clinical management strategy (severe ear deformity with facial malformation, gynecological abnormalities). In females concomitant abnormalities of kidneys and paramesonephric duct derivatives are common, with up to 40% of women with uterine malformations reported to have various congenital renal abnormalities. Even though there are occasional examples of surgical repair of the injured kidneys with crossed-fused malformation the majority of surgical cases resort to renal resection. We presented a rare case of complex genitourinary malformation with crossed fused disk kidney diagnosed after the iatrogenic injury to the right ureter after emergent gynecological surgery. Rare pathology and presentation was diagnosed by IVP and confirmed during operation. We have constructed an ipsilateral ureteroureterostomy to drain the right portion of fused kidney. Urinary flow was satisfactory with no significant nephrostomy tube drainage next day, allowing the nephrostomy tube removal. Postsurgical evaluation by IVP has demonstrated a good flow from both kidney and no detectable anastomotic leaks. Postsurgical recovery was uneventful. After 2 years from operation IVP data did not changed. It must be noted, that Ectopic kidneys are frequently malformed and have an abnormal ureteral drainage leading to incontinence and frequent UTIs.",Georgian medical news,eng,2016,7.0
Endovascular Abdominal Aortic Aneurysm Repair by Means of the Chimney Technique in a Patient with Crossed Fused Renal Ectopia.,"Crossed fused renal ectopia, a congenital anomaly in 1 of 7,000 individuals, presents a challenge during endovascular treatment of abdominal aortic aneurysm. Most treatment approaches in these patients have involved open surgical repair of the aneurysm or endovascular repair with coverage of the ectopic renal artery. We present what we think is the first case of endovascular abdominal aortic aneurysm repair with use of the chimney technique (parallel stent-grafting) to preserve an ectopic renal artery, in an 88-year-old man who was at high risk for open surgery. In addition to the patient's case, we discuss the relevant medical literature.",Texas Heart Institute journal,eng,2016,6.0
A FURTHER PATIENT OF PURE 15q DELETION: CLINICAL AND MOLECULAR CYTOGENETIC FINDINGS.,"A deletion of the distal long arm of chromosome 15 is generally reported with the formation of ring chromosome 15, whereas an isolated 15q deletion is rarely described. Here we report an 11 year-old girl, from non-consanguineous parents, who was referred to the Pediatric Genetics Department with growth retardation and multiple congenital abnormalities. In her medical history, she had a cleft palate, hip dislocation and crossed renal ectopia. Dysmorphological evaluation revealed a triangular face, low-set ears, fissured cleft tongue, micrognathia, proximally placed hypoplastic thumbs, genu valgus, 2-3 toe skin syndactyly, clinodactyly and nail hypoplasia. Speech problems were also noticed. The karyotype was normal. Subtelomeric fluorescent in-situ hybridisation (FISH) analysis showed a de novo terminal deletion about 755 kb. Furthermore, the breakpoint was located within the CHSY1 gene that is responsible for Temtamy preaxial brachydactyly syndrome which shares clinical features with 15qter deletion syndrome. To the best of our knowledge, this deletion is the smallest among reported patients. It is considered that the patient presented here significant contribution to phenotype-genotype correlation in 15q deletion patients.","Genetic counseling (Geneva, Switzerland)",eng,2016,
Renal stone in crossed fused renal ectopia and its laparoscopic management: Case report and review of literature.,"Management of renal stone in crossed fused renal ectopia (CFRE) is difficult because of abnormal location, malrotation, and its relations with vertebral column and small bowel. Management is not standardized because of the paucity of literature and variable anatomy. We managed an 8-year-old boy with multiple renal stones in right side crossed kidney by laparoscopic pyelolithotomy and nephro pyeloscopy with the help of ureteroscope. Until now, there is only one prior report of laparoscopic pyelolithotomy in CFRE. We share our experience in this case and review the literature regarding the management of kidney stones in this rare anomaly.",Urology annals,eng,2016,
Ureteral Involvement Within an Incarcerated Inguinal Hernia in a Patient With Crossed-fused Renal Ectopia.,"Crossed-fused renal ectopy is an uncommon abnormality of the genitourinary tract that results from errors during embryological development. Ureteral herniation represents another rare anatomic event and can often occur from spontaneous, postoperative, and congenital causes (Allam, Johnson, Grewal & Johnson 2015; Pollack, Popky & Blumberg 1975). Here, we discuss the complex clinical course of a patient with crossed-fused renal ectopia who presents with symptoms due to ureteroinguinal herniation and provide a brief overview of the literature. We highlight the clinical considerations in the management of this patient and provide a potential anatomical and embryological explanation for his presentation.",Urology case reports,eng,2016,7.0
Open Partial Nephrectomy for Wilms' Tumor in a Cross-fused Pelvic Ectopic Kidney.,"Wilms' tumor is the most common pediatric solid renal tumor. Cross-fused renal ectopia is a rare congenital anomaly in which the left and right kidneys become fused and fail to ascend from the pelvis and abdomen. We report a case of a 5-year-old girl that underwent open partial nephrectomy on a cross-fused ectopic kidney, ""pancake kidney,"" after incidental discovery of a solid renal mass found to be a Wilms' tumor. Thorough review of the literature shows that this combination of Wilms' tumor in the setting of cross-fused renal ectopia has only been reported twice previously.",Urology,eng,2016,7.0
Bladder Agenesis Associated with Crossed Fused Renal Ectopia and Vertebral Anomalies: A Rare Entity.,No Abstract,Urology journal,eng,2016,3.0
Persistent Mullerian Duct Syndrome with Embryonal Cell Carcinoma along with Ectopic Cross Fused Kidney.,"Persistent Mullerian Duct Syndrome (PMDS) is a form of internal male pseudohermaphroditism, where there is normal development of male secondary sexual characters, along with the presence of bilateral fallopian tubes and uterus. Majority of these cases go undetected and some cases are accidentally diagnosed while investigating for other problems. Cross fused renal ectopia is a condition where one kidney lies in the opposite side, fused to the other kidney. We present an extremely rare case of a phenotypical male presenting with mass per abdomen and bilateral cryptorchidism, turned out to have uterus with bilateral fallopian tubes, ectopic cross fused right kidney and Embryonal cell carcinoma of left undescended testis.",Journal of clinical and diagnostic research : JCDR,eng,2016,1.0
Crossed fused renal ectopia with chyluria: a rare presentation.,No Abstract,BMJ case reports,eng,2016,1.0
Renal cell carcinoma in patient with crossed fused renal ectopia.,"Primary renal cell carcinomas have rarely been reported in patients with crossed fused renal ectopia. We presented a patient with right to left crossed fused kidney harbouring renal tumor. The most frequent tumor encountered in crossed fused renal ectopia is renal cell carcinoma. In this case, partial nephrectomy was performed which pave way to preservation of the uninvolved both renal units. Due to unpredictable anatomy, careful preoperative planning and meticulous delineation of renal vasculature is essential for preservation of the uninvolved renal units.","Archivio italiano di urologia, andrologia : organo ufficiale [di] Societa italiana di ecografia urologica e nefrologica",eng,2016,1.0
An incidental finding of a crossed fused renal ectopia.,No Abstract,La Tunisie medicale,eng,2015,7.0
Crossed Fused Renal Ectopia Diagnosed After Discovering an Absent Left Kidney by Point-of-Care Ultrasound.,"We report an incidental diagnosis of crossed fused renal ectopia diagnosed in a patient initially evaluated with an educational point-of-care ultrasound (US). We review the US technique, sonographic findings, and the relevant literature regarding renal US.",Pediatric emergency care,eng,2016,1.0
Endovascular Reconstruction of Aortoiliac Occlusive Disease with an Aberrant Pelvic Kidney.,"Aortoiliac occlusive disease coincident with a congenital ectopic pelvic kidney is a rare occurrence. Traditionally, the treatment has been open aortobifemoral repair with reimplantation of the renal artery. We present a patient with Trans-Atlantic Inter-Society Consensus (TASC) D bilateral aortoiliac occlusive disease, an ectopic pelvic kidney, and prohibitive medical comorbidities. We describe a totally endovascular repair using a chronic total occlusion crossing device, a luminal re-entry device, and balloon-mounted covered stents to revascularize the lower extremities and the ectopic pelvic kidney. We discuss various aspects of this endovascular approach as the incidence of patients with TASC D lesions and prohibitive comorbidities continue to rise.",Annals of vascular surgery,eng,2016,2.0
PENILE AGENESIS WITH CROSSED FUSED RENAL ECTOPIA.,"Penile agenesis is one of the rarest urogenital anomalies with only less than 100 cases reported worldwide so far. Only 3 cases have been reported from Africa and to our knowledge none has been reported from our country Ethiopia. Viability depends on associated anomalies. Urogenital anomalies are the most common associated ones accounting for 54% of cases. This case report is unusual presentation, which is the first reported case of penile agenesis associated with left to right, crossed fused renal ectopia.",Ethiopian medical journal,eng,2015,4.0
Crossed Renal Ectopia and Aorto-Occlusive Disease: A Management Strategy.,"We present a rare case of a patient with aortoiliac occlusive disease on the background of type A crossed renal ectopia, for whom open surgical intervention was required. Aortic exposure in patients with concomitant crossed renal ectopia can present technical challenges to the vascular surgeon. The knowledge of variations in the ectopic renal blood supply is of paramount importance when performing surgery to treat this condition and affects the choice of surgical exposure. We present and discuss the operative details of our patient and outline an approach to this subset of patients.",The Korean journal of thoracic and cardiovascular surgery,eng,2015,10.0
Robot-assisted heminephrectomy for chromophobe renal cell carcinoma in L-shaped fused crossed ectopia: Surgical challenge.,Renal cell carcinoma associated with fused ectopic kidneys has rarely been reported in the literature. Here we report the first case of robot-assisted heminephrectomy for chromophobe renal cell carcinoma in an L-shaped fused ectopic kidney. The present case report highlights the importance of three-dimensional vision and enhanced maneuverability with the EndoWrist technology of the robotic surgical system for precise dissection. This report also highlights the importance of preoperative contrast-enhanced computed tomography with three-dimensional arterial reconstruction for surgical planning.,Korean journal of urology,eng,2015,10.0
Rare renal ectopia in children - intrathoracic ectopic kidney.,"Renal ectopia occurs in 1:3000-1:7000 children. Simple ectopia refers to the abnormal kidney location on the same side; in crossed ectopia the ureter crosses the midline of the body. In most cases ectopic kidney is found in the pelvis minor, in 5% of cases in the thoracic cavity. Kidney displacement does not give any clinical symptoms in the majority of patients, sometimes it may cause abdominal pain, urinary tract infection, chest pain or promote nephrolithiasis. Renal ectopia is usually discovered during routine abdominal ultrasound. We describe a boy with prenatal ultrasound diagnosis of left kidney agenesis. Right normal kidney and displaced to the thoracic cavity, smaller, with normal echo-structure left kidney were found in postnatal ultrasound. Left kidney ectopia was confirmed in renal scinthigraphy, radiography and computed tomography of the chest. Voiding cystourethrography (VCUG) excluded vesicoureteral reux.",Developmental period medicine,eng,2015,
Unusual Presentation of Renal Cell Carcinoma in Crossed Ectopic Kidney.,"Crossed renal ectopia is a rare anomaly and ninety percent of crossed ectopic kidneys are fused to their ipsilateral mate. Based on autopsy findings, the incidence has been estimated to be one in 2000 individuals.",Nephro-urology monthly,eng,2015,5.0
"Crossed Fused Renal Ectopia: Presentations on 99mTc-MAG3 Scan, 99mTc-DMSA SPECT, and Multidetector CT.","Crossed renal ectopia is an uncommon developmental anomaly in which both kidneys are located on the same side of the body. The present case describes a 20-year-old man who underwent the military entrance physical examination. The ultrasound showed the right kidney in normal site with slightly increased size, but the left kidney was not identified. Tc-MAG3 scan showed a single kidney with 2 ureters, and the orifices of the ureters were connected at both sides of bladder. Tc-DMSA SPECT and contrast-enhanced multidetector CT were performed and revealed crossed fused renal ectopia.",Clinical nuclear medicine,eng,2015,10.0
"Bilateral Crossed ""Unfused"" Renal Ectopia.","Ectopic kidney-uncrossed or crossed, or with and without fusion-is a common congenital developmental anomaly. Commonly employed imaging modalities used for evaluating such condition include ultrasonography, IV pyelography, and contrast-enhanced CT scan. Here in, we describe a rare case report of an incidentally detected bilateral crossed renal ectopia without fusion on Tc-DTPA scan in the setting of inconclusive ultrasonography and deranged renal function.",Clinical nuclear medicine,eng,2015,10.0
"Right-Crossed, Fused Renal Ectopia L-Shaped Kidney Type with Urinary Chyluria.",Crossed fused renal ectopia combined with chyluria is extremely rare. Here we report the case of a patient who was admitted to our institution since milky urine and was finally found to have an L-shaped fused kidney and renal pelvis fistula. The patient was cured by renal pelvic instillation sclerotherapy.,Urologia internationalis,eng,2015,
Solitary crossed ectopia with vesicoureteric junction obstruction: A rare case report.,Solitary crossed renal ectopia (SCRE) is a very rare anomaly of urinary tract. Most cases are diagnosed incidentally. We report a case of SCRE associated with vesicoureteric junction obstruction in a 7-year-old child which has not been reported in the literature till date.,Journal of Indian Association of Pediatric Surgeons,eng,2015,
Laparoscopic sigmoid colectomy for a patient with sigmoid colon cancer and crossed-fused renal ectopia: a case report.,"Crossed-fused renal ectopia (CFRE) is a very rare congenital renal malformation. This condition comprises several anatomic anomalies, including unilateral ureteral intersection of the midline, anteriorly-placed renal pelvises, and aberrant renal blood vessels, all of which increase the difficulty of colectomy. This report describes a case of laparoscopic sigmoidectomy with sufficient lymphadenectomy for a patient with sigmoid colon cancer and left-sided L-shaped CFRE. Preoperative computed tomography demonstrated that the origin of the inferior mesenteric artery (IMA) was free from anomalies and that the tumor did not invade surrounding organs. Therefore, we planned conventional laparoscopic sigmoid colectomy with D3 lymphadenectomy. Division of IMA at its origin and anterior colon resection was successfully performed by careful mobilization of the mesocolon to avoid exposing the retroperitoneal organs. To our knowledge, this is the first case report of laparoscopic colectomy for a patient with CFRE. Sufficient preoperative assessment of anatomic anomalies enabled successful surgery.",International surgery,eng,2015,3.0
"Left crossed fused renal ectopia L-shaped kidney type, with double nutcracker syndrome (anterior and posterior).","Crossed fused renal ectopia (CFRE) is the second most common fusion anomalies (FAs) of the kidneys after horseshoe kidney. Crossed fused renal ectopia (CFRE) results from one kidney crossing over to the opposite side and subsequent fusion of the parenchyma of the two kidneys. We report, by multidetector-row computed tomography (MDCT) angiography, an extremely rare case of a left CFRE (L-shaped kidney type), consisting of multiple renal arteries (one main renal artery for the upper renal parenchyma, and three renal arteries (one main and two additional) for the lower renal parenchyma) and two left renal veins, which produced a double nutcracker syndrome (both anterior and posterior). The L-shaped left kidney has a maximum length of 18.5 cm, a maximum width of 10.2 cm, and a maximum thickness of 5.3 cm. The upper pole of the kidney is located at the level of the lower third of T12 vertebral body (4.6 cm left to the mediosagittal plan); the lower pole is located along the lower half of the L5 vertebral body (1.5 cm left to the mediosagittal plan). The following case will focus on the relevant anatomy, embryology, and the clinical significance of this entity.",Romanian journal of morphology and embryology = Revue roumaine de morphologie et embryologie,eng,2014,
Retrograde intrarenal surgery in cross-fused ectopic kidney.,"Cross-fused renal ectopia is a rare congenital anomaly in which both kidneys are fused and located on the same side. We report a case of right-to-left cross-fused renal ectopia and nephrolithiasis, in whom retrograde intrarenal surgery was used to treat the stone disease. To our knowledge, this is the first case of retrograde intrarenal surgery of a crossed-fused ectopic kidney.",Urology,eng,2015,2.0
A new subtype of crossed fused ectopia of the kidneys.,"Crossed fused renal ectopia is a rare congenital anomaly; here, we report a new subtype of crossed fused renal ectopia associated with the retroiliac megaureter and thoracic scoliosis deformity. It is beyond the traditional classification of crossed fused renal ectopia. There are 2 kidneys in the left and hydronephrosis of the upper kidney, the right kidney crossed over and fused with the lower kidney of the left. It is never seen in previous reports. Recurrent infection was cured by resecting the hydronephrosis of the upper kidney and retroiliac megaureter.",Urology,eng,2014,12.0
Laparoscopic pyeloplasty for ureteropelvic junction obstruction in crossed fused ectopic pelvic kidney.,Crossed fused renal ectopia is a rare anomaly and may be associated with pelvic ureteric junction obstruction (PUJO). The L-shaped fusion variety is even rarer. We report such a case with a crossed fused ectopic pelvic kidney (L-type) with PUJO and its successful laparoscopic management. Through this report we emphasize the importance of adequate preoperative imaging and intraoperative details to avoid mishaps.,Korean journal of urology,eng,2014,11.0
Right lump kidney with varied vasculature and urinary system revealed by multidetector computed tomographic (MDCT) angiography.,"Renal ectopia also known as ectopic kidney is an embryological renal anomaly characterised by abnormal anatomical location of one or both of the kidneys. This can occur in various forms such as (1) crossed fused renal ectopia, (2) ectopic thoracic kidney and (3) pelvic kidneys. The lump kidney is one of the six variations of crossed fused ectopic kidney. Throughout life, the patient may remain asymptomatic, however, symptomatic patients may present with minor traumatic injuries due to the abnormal location or normal kidney pathologies. During normal embryological development, there is cephalic migration during which the kidneys ascend to their normal retroperitoneal location; therefore, an ectopic location is as a result of arrested migration. During this embryological development the kidney has multiple aorto-illiac branches, which degenerate when the kidney reaches its normal location. Here they develop new renal branches from the aorta and during an arrested ascent the ectopic kidney tends to retain some of the older aorto-iliac vessels. Hence, the arterial supply and the veineux drainage are grossly abnormal, reflecting the metanephric malascent and the primitive vascular arrangement. The collecting systems also present with important anatomical variations. We present an extremely rare case of right lump kidney with six renal arteries, two renal veins and two duplicated pelvicalyceal systems.",Surgical and radiologic anatomy : SRA,eng,2015,9.0
Crossed renal ectopia.,To report two cases of right crossed non-fused renal ectopia diagnosed in male patients about 30 years of age who arrived to emergency centres with symptoms of renal colic.,Archivos espanoles de urologia,eng,2014,9.0
Management of an iatrogenic injury in a crossed ectopic kidney without fusion.,"Crossed renal ectopia is a condition in which a kidney is located on the side opposite of its ureteral insertion. Ninety percent of crossed ectopic kidneys are fused to their ipsilateral uncrossed renal unit. Crossed renal ectopia without fusion is rare, with only 62 patients reported in the literature to date. These kidneys may suffer iatrogenic injury during an unrelated surgical intervention. The injury, unless self-limiting, may necessitate the removal of the ectopic kidney. We present a unique case of a dual injury, renal as well as ureteric, in a crossed ectopic kidney without fusion that was successfully managed without surgical excision.",Korean journal of urology,eng,2014,8.0
Ectopic ureter presenting as anterior wall vaginal prolapse.,"The differential diagnoses for anterior wall vaginal prolapse (AWVP) include cystocele, enterocele, urethral diverticulum, and Gartner duct cyst. We present a case of a patient with a known solitary right kidney (congenital absence of a left kidney) presenting with lower urinary tract symptoms, absence of urinary incontinence, and feeling of bulge in the vagina. Physical examination revealed grade II AWVP. Because congenital solitary kidney can be associated with other possible genitourinary abnormalities, a pelvic magnetic resonance imaging was obtained. Magnetic resonance imaging demonstrated a tubular structure spanning the left retroperitoneum to the region of the AWVP. Urodynamics revealed an obstructive voiding pattern during pressure-flow phase. The combination of transvaginal and transabdominal surgical excision of the tubular structure resolved the patient's lower urinary tract and prolapse symptoms. Anatomically, her AWVP was corrected. Histopathologic examination of the tubular structure revealed presence of urothelium lining the lumen of the tubular structure consistent with a ureter. This case represents the rare situation in which an ectopic ureter presented as an AWVP. However, patients with congenital solitary kidney presenting with vaginal prolapse should raise the suspicion for other associated genitourinary anomalies, whether these anomalies are related to the prolapse or not. Cross-sectional imaging should be performed in these situations to delineate precise anatomy.",Female pelvic medicine & reconstructive surgery,eng,2014,
Crossed renal ectopia presenting with suprapubic swelling and acute renal failure.,"A 17-year-old male was admitted with a fluctuant suprapubic mass. A bladder scan demonstrated > 999 ml filling so he was catheterised. However, only 75ml of urine was drained. He was in acute renal failure with serum potassium of 6.5mmol/l. Computerised tomography (CT) scan showed a large midline 'cystic mass' separate from the bladder compressing the left ureter, causing left-sided hydronephrosis. Right kidney was not visualised. Percutaneous aspiration of the 'cyst' yielded 2000ml of straw-coloured fluid high in creatinine, urea and electrolytes indicating that it was urine. Having relieved the left ureter, the patient was subsequently diuresed, and renal function returned to normal. A CT urogram showed contrast uptake with renal parenchyma in the ""cyst"". Consequently, a diagnosis of right-sided crossed renal ectopia was made. Bilateral ureteric stents were inserted, and later a right-sided nephrectomy was performed. The patient made a full recovery. To the best of our knowledge, this is the only reported case of crossed renal ectopia causing obstruction of the normal ureter, resulting in acute renal failure.The role of modern imaging in the management of this condition is also highlighted in this report.",JPMA. The Journal of the Pakistan Medical Association,eng,2013,9.0
"A case of VACTERL and non-VACTERL association without the ""V and L"".","VACTERL is a cluster of congenital malformations based on the non-random association of various congenital malformations in a single patient. Here ""V"" denotes vertebral defects or vascular anomalies (single umbilical artery), ""A"" anal atresia, ""C"" cardiac abnormalities, ""TE"" tracheoesophageal fistula, ""R""renal (kidney) abnormalities and ""L"" for limb anomalies) It is called an association, rather than a syndrome because the complications are not pathogenetically related, tend to occur more frequently than expected and are thought to be linked to embryonic mesodermal defects. Studies have reported the coexistence of various other congenital malformations such as respiratory, cerebral anomalies, which are frequently referred as non-VACTERL-type of associations. Diagnosis of VACTERL association is done only when at least three of the above mentioned congenital malformations are identified in a patient. Although 80% of these cases have vertebral defects, our case is unique as patient does not have one of the commonest occuring association i.e., vertebral anomalies, but has all other associations and an additional non VACTERL brain anomaly, hitherto unreported in the literature. The other highlight of this case is although reports say that VACTERL babies with ipsilateral renal disorder have the same side limb defects, our case has a renal anomaly with no limb anomaly. Finally VACTERL and non VACTERL association was considered in our patient in view of ventricular septal defect, tracheo esophageal fistula, anal atresia, renal anomaly, seizure disorder and global developmental delay due to pontocerebellar hypoplasia.","Indian journal of nuclear medicine : IJNM : the official journal of the Society of Nuclear Medicine, India",eng,2014,1.0
Crossed unfused renal ectopia.,No Abstract,BMJ case reports,eng,2014,2.0
Preemptive coil occlusion of major aberrant renal artery to allow endovascular repair of abdominal aortic aneurysm with crossed fused renal ectopia.,"Crossed fused renal ectopia and other similar renal anomalies are nearly always associated with major renal arterial, venous, and collecting system anomalies. These complicate both open repair and endovascular repair (EVAR) of abdominal aortic aneurysms (AAA). We present a case of successful EVAR of an AAA with crossed fused renal ectopia.",Annals of vascular surgery,eng,2014,7.0
Crossed fused renal ectopia presenting as recurrent lower abdominal pain and urinary tract infection.,"Crossed fused renal ectopia is a relatively rare condition which may remain undiagnosed for a long time. Renal function is usually preserved. It usually involves the left kidney. It is usually associated with mal-rotation, and may be a cause of urinary tract infection, hydronephrosis and renal calculi.",African journal of medicine and medical sciences,eng,2013,6.0
Solitary crossed renal ectopia with vesicoureteric reflux presenting with impaired renal function in a neonate.,"Solitary crossed renal ectopia (SCRE) is an exceedingly rare anomaly of the urinary tract. So far, only 34 cases have been reported in the literature. It usually presents after infancy. Most of these cases are diagnosed incidentally while patients are undergoing evaluation for associated genitourinary, cardiovascular, hematological or vertebral abnormalities. We report the first case of SCRE presenting in neonatal age with impaired renal function and vesico-ureteric reflux.",Journal of clinical neonatology,eng,2013,7.0
Crossed fused renal ectopia.,No Abstract,The Journal of urology,eng,2014,2.0
Crossed fused renal ectopia with a single ureter: a rare anomaly.,"A rare case of crossed fused renal ectopia is presented where the fused kidneys were present on the right side and there was a single ureter opening into the right side of the bladder. To the best of our knowledge, this variant of crossed fused ectopia has not been reported previously. This case challenges the embryological theory that deviation of one of the ureteric buds to the opposite side results in crossed fused renal ectopia.","Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia",eng,2013,7.0
Robotic-assisted laparoscopic approach in the treatment for Zinner's Syndrome associated with ipsilateral megaureter and incomplete double-crossed ectopic ureter.,"To report a rare congenital anomaly of the genitourinary tract, renal dysplasia is associated with ipsilateral incomplete duplicated ectopic ureter and seminal vesicle cyst in an adult, successfully treated with robotic-assisted laparoscopic approach.",International urology and nephrology,eng,2013,6.0
Renal pyelic fusion with crossed solitary ureter: case report and review of literature.,"Renal fusion anomalies are detected incidentally on imaging, with horseshoe kidney being the most common followed by crossed renal ectopia. We report a rare congenital anomaly of renal pyelic fusion with a solitary ureter. Both the renal units were in the normal position and location. This rare anomaly was associated with lumbar vertebral defects, neurogenic bladder, vesico-ureteric reflux, upper tract dilatation and recurrent urinary tract infections.",International journal of urology : official journal of the Japanese Urological Association,eng,2013,10.0
Choledochal cyst and crossed fused ectopic kidney--a hitherto unknown association.,No Abstract,Acta gastro-enterologica Belgica,eng,2012,12.0
Supine percutaneous nephrolithotomy for bilateral complete staghorn calculi in an L-shaped cross-fused renal ectopic anomaly.,"A 68-year-old woman was diagnosed to have a left-to-right L-shaped crossed-fused kidney with staghorn calculi in both renal moieties on evaluation for abdominal pain. She underwent supine percutaneous nephrolithotomy using 3 tracts in 3 stages. By using 3-dimensional reconstructed computed tomography urogram, proper preoperative planning, appropriate patient positioning, ultrasound-guided access, intraoperative traction, and flexible nephroscopy, complete stone clearance can be achieved in seemingly difficult stones in anomalous kidneys.",Urology,eng,2013,1.0
"Novel association of VACTERL, neural tube defect and crossed renal ectopia: sonic hedgehog signaling: a point of coherence?","The present case report describes two patients with a novel combination of VACTERL (vertebral, anorectal, cardiac, tracheoesophageal, renal, limb), neural tube defect and crossed renal ectopia. Though cases of VACTERL associated with crossed renal ectopia have been described, the present case report is the first to describe its combination with neural tube defect. The cases reported here are significant because central nervous system manifestations are scarce in VACTERL syndrome. The role of sonic hedgehog pathway has been proposed in VACTERL association and neural tube defects. Axial Sonic hedgehog signaling has also been implicated in the mediolateral positioning of the renal parenchyma. With this knowledge, the etiopathogenesis of this novel combination is discussed to highlight the role of sonic hedgehog signaling as a point of coherence.",Congenital anomalies,eng,2012,12.0
An unusual case of S-shaped malformation of the ipsilateral kidney with normal contralateral kidney.,"Crossed ectopia is a rare congenital anomaly. S-shaped (sigmoid) kidney is one of the varieties of crossed ectopia that is associated with absence of any renal tissue in the contralateral renal fossa. S-shaped malformation of an ipsilateral kidney with presence of the contralateral kidney is an extremely rare condition and, to our knowledge, has been described only once before in the literature. We present the case and discuss the hypothesis for this rare malformation.",Urology,eng,2013,1.0
Percutaneous nephrolithotomy in crossed fused renal ectopia: superior calyceal access under fluoroscopic control.,To present a case report of crossed fused renal ectopia treated with percutaneous nephrolithotomy at our hospital and to perform a literature review.,Archivos espanoles de urologia,eng,2012,6.0
Crossed renal ectopia coexisting with nephrolithiasis in a young Nigerian man.,"Renal ectopia or ectopic kidney is a congenital anomaly in which one or both kidneys are located in an unusual position. It results from the kidney failing to ascend properly from its origin in the true pelvis. In some cases, one kidney may cross over (crossed renal ectopia) so that both kidneys are on the same side of the body. When a crossover occurs, the two kidneys may grow together and become fused (crossed fused renal ectopia). Renal ectopia is generally uncommon; its coexistence with nephrolithiasis is even rarer. Due to its variable presentations, it is usually discovered incidentally, especially when investigating patients for abdominal pain. Treatment may be conservative when renal function is preserved and no complication is associated.",Arab journal of nephrology and transplantation,eng,2012,5.0
Primary malignancy in crossed fused ectopic kidney.,"Crossed fused ectopia of kidneys is a rare congenital anomaly. It is usually associated with congenital anomalies of the gut. Development of malignancy in crossed fused ectopic kidney is uncommon. We present two cases, both females aged 47 and 60 years with crossed fused renal ectopia detected due to the development of malignancy in them. This report highlights the rare occurrence of the entity and role of US, CT scan and MRI in such patients.",Abdominal imaging,eng,2012,8.0
